id,title,link,category,fetched,fetched_at,notes
1,"명사를 줄줄이 잇지 말고, 동사로 풀어 쓰자",https://blog.newswire.co.kr/?p=19136,sentence_style,FALSE,,
2,"습관처럼 쓰는 진행형, 당신의 기사를 흐리게 만든다",https://blog.newswire.co.kr/?p=19044,sentence_style,FALSE,,
3,"번역투 표현, 기사 문장을 어색하게 만드는 습관",https://blog.newswire.co.kr/?p=19012,sentence_style,FALSE,,
4,"접속어 중복, 기사 문장을 답답하게 만드는 연결어 줄이기",https://blog.newswire.co.kr/?p=18985,sentence_style,FALSE,,
5,기사 문장을 간결하게 만드는 동어 반복 줄이기,https://blog.newswire.co.kr/?p=18963,sentence_style,FALSE,,
6,"주술 동어 반복, 기사 문장을 단조롭게 만드는 표현 줄이기",https://blog.newswire.co.kr/?p=18939,sentence_style,FALSE,,
7,군더더기 표현 줄이면 기사 문장이 가벼워진다,https://blog.newswire.co.kr/?p=18883,sentence_style,FALSE,,
8,겹말을 줄이면 기사 문장이 간결해집니다,https://blog.newswire.co.kr/?p=18864,sentence_style,FALSE,,
9,"‘심화하다’와 ‘심화되다’, 주어를 보면 답이 보인다",https://blog.newswire.co.kr/?p=18813,sentence_style,FALSE,,
10,"‘통과했다’와 ‘통과됐다’, 무엇이 맞을까?",https://blog.newswire.co.kr/?p=18781,sentence_style,FALSE,,
11,‘출시한 제품’보다 ‘출시된 제품’이 자연스럽다,https://blog.newswire.co.kr/?p=18761,sentence_style,FALSE,,
12,좋은 기사 문장의 조건: 필수 성분을 빠뜨리지 마라,https://blog.newswire.co.kr/?p=18732,sentence_style,FALSE,,
13,같은 연결 어미 반복은 문장을 무겁게 만든다,https://blog.newswire.co.kr/?p=18692,sentence_style,FALSE,,
14,조사 하나만 줄여도 문장이 또렷해집니다,https://blog.newswire.co.kr/?p=18653,sentence_style,FALSE,,
15,"연결 어미, 주어를 맞추면 문장이 살아납니다",https://blog.newswire.co.kr/?p=18632,sentence_style,FALSE,,
